x,y,grad_x,grad_y
7.541264085516701243e-01,3.008339730940265966e-01,1.998810588800329135e+00,3.065373396157328045e+01
1.253383401195533153e+00,3.713494999850128764e-01,6.809056251405963600e+00,3.054841150402554462e+01
2.183116564922248592e+00,1.806369304283694355e+00,2.476671034720133317e+21,7.313294842096808624e+21
1.343269937607174391e+00,-3.587631824750068255e-01,3.372044235325213801e+00,-3.523114208888534193e+01
-1.506791626302502296e+00,3.838711165602873621e+00,8.994653922646032000e-06,-7.792885516132249308e-07
1.624671972056601632e+00,3.317130557633358734e+00,1.276632404673949988e+45,1.415570408222935675e+45
1.566555743792584998e+00,-1.317192226923171727e+00,4.796355171279997172e-07,-1.115110337754117075e-05
-1.828464721285403272e+00,3.527741656108405621e+00,1.779861139064939428e-10,-4.303929592300792357e-11
-1.553818743383491130e+00,-1.914715537202342110e+00,-1.037743390829734250e+15,-2.889118279943629375e+14
-6.680080538114612221e-01,-9.052840329093829741e-01,-4.494020984432640226e-02,-2.582421522938340742e-03
-1.108063211513434565e+00,1.363388582150374617e+00,-1.686207563277293175e+01,1.568504227569883902e+01
4.429202411676236295e-02,3.414104593930128217e+00,1.898544631349984297e+20,9.597210259402886349e+19
2.208214517005269606e+00,3.482226162559867610e+00,4.745509149226309087e+58,5.868448105864534081e+58
1.358880795780882167e+00,3.208443975717488073e+00,7.053478547258236100e+38,7.449617954527218300e+38
-1.579333334506336950e+00,7.432294204637295287e-01,-9.734350556366055685e+01,-1.617779610639573207e+02
-1.144061238156248272e+00,1.924344574995539681e+00,4.901871343573917628e+00,-1.037668873130219438e-01
-7.522619985544412025e-01,1.914321464237553450e+00,1.172605323224152244e+03,4.293967340096564840e+02
8.096710025063202920e-02,1.384554804012442020e+00,1.401910457550037063e+04,3.223026411479230228e+04
7.733573659555492696e-02,3.747766826700594578e+00,5.487156730904009308e+23,2.569494053742745276e+23
7.201798772989946862e-01,4.428432589110311568e-01,6.842815904113377812e+00,1.646038999860657626e+01
2.020157993290200515e+00,-9.728987491407110610e-01,1.116892620128979606e-03,-1.065152046046658266e-02
8.052757941200709979e-01,3.105337131695432795e+00,6.406647757772987220e+28,5.640115152179193767e+28
1.477639171062428147e-01,3.978300425544960106e+00,1.612101284096152909e+27,7.449330392575327040e+26
1.448823972282510919e+00,3.905889864520514010e+00,3.936881469926380588e+52,3.416384861463761528e+52
1.122172828204439643e+00,1.674994968858105171e+00,1.356696918839018555e+12,3.395644690848684570e+12
3.172347723116702767e+00,2.214080524710716702e+00,1.980849381060251775e+40,5.294201814406157624e+40
8.489913779960467366e-01,2.854882072147692185e+00,1.220850830388835032e+26,1.217634759680368067e+26
3.716307888813934923e+00,3.608113893571397668e+00,6.281046187955510542e+90,1.021955777568366067e+91
4.817786623328093043e-01,1.224491833307514987e+00,5.776483942472715171e+03,2.392735263631891576e+04
-1.340493735009163245e+00,4.820756405538362266e-01,-2.317850624193194733e+02,-1.717655990248974263e+02
2.768335229946230491e+00,-1.658955711234480601e+00,3.461109222328197673e-12,-3.247023988613679375e-11
2.815702420207107259e+00,-1.077280833917273473e-01,2.393446249573354390e+00,-1.420854718548232976e+00
-1.792527624464418157e+00,1.885310494269756276e-01,-7.585211520597266499e+05,-7.438099425597382942e+05
4.962892853660783032e-01,-5.363298753553262799e-01,-8.804814363547345257e-01,-9.380294112112977700e+00
3.596303644594307514e+00,3.417562660723185708e-01,3.830175048070352806e-02,5.017970957200014459e-02
2.730583137657394133e-01,2.674191399458403673e+00,6.839501906597550400e+16,5.452178050455887200e+16
1.354434064846453012e+00,1.730772212861297454e+00,2.432874843377767500e+14,6.200797871742370000e+14
-5.693899221708538239e-01,-2.670341545758598834e-01,-2.670797104594754945e+00,-4.761561770907461799e+00
3.179053680786568137e+00,1.292721309800315410e+00,3.096632410057112500e+14,1.907767667669180500e+15
3.124746480505880442e+00,-1.931894887231580871e+00,5.753177825466042787e-17,-5.230993404777226079e-16
3.578340292357522934e+00,-5.640817804544839831e-01,5.551453816769536150e-03,-1.214531085915187408e-02
1.375868473606260967e+00,3.162489396775841399e+00,2.172317770040121349e+38,2.348585735037901815e+38
-5.490749940731247669e-01,-1.948848559978170858e+00,-7.222246950862002562e-05,4.365484622228938053e-06
2.994303269291916259e+00,1.195165510984034007e+00,1.113407236430890503e+11,7.865890448277304688e+11
1.912869358978964485e+00,1.991387828072917809e+00,1.393556642465123590e+23,3.315396717904494602e+23
-6.440085498648235873e-01,2.319209472392993021e+00,1.288955598367331986e+05,4.566374748649328831e+04
-1.385316619558342621e+00,1.439373737752940308e+00,-1.081816797779544093e+00,8.711531495429204464e-01
1.497761474444079699e+00,1.592627127030069367e+00,8.228999489173775391e+12,2.544256766233219922e+13
-1.122838809040995534e+00,-1.267065110651150128e+00,-1.233240868750907539e+05,-1.810090921028185767e+04
1.993211177797296507e+00,3.451829323456427012e+00,1.406142264181637268e+54,1.658855382408537090e+54
-3.682606328365720660e-01,2.310006339502712613e+00,3.332969613000249118e+07,1.835748647636738792e+07
1.934775072446924149e+00,3.425588098520156777e+00,3.661808550204055594e+52,4.288043304808826224e+52
-4.909235425237408190e-01,-1.508257475646147983e+00,-2.608759156853170187e-05,2.906403945651711434e-06
-1.396694077922913113e-01,1.049711842607627066e+00,1.237561803862084986e+01,6.419717030140205338e+01
3.017070652826981281e+00,4.075818769257999463e-02,1.357901037611704664e+00,2.729798843477557191e-01
3.416189869061363460e+00,1.998070034369924919e+00,2.796679181286071079e+36,8.942532149025654184e+36
9.774422250821372948e-01,1.119860233450316933e+00,3.739539274618945001e+03,2.442845809913977428e+04
2.692030615506601166e+00,-3.627119351270278180e-01,1.036928925472237584e+00,-2.222835250095064108e+00
3.794132144850664190e+00,-1.531490449505199303e+00,2.961268469607547276e-12,-1.623099461484283270e-11
-1.679213472951138097e+00,-1.915025432246915793e+00,-2.803650756024694080e+17,-8.954630679674283200e+16
1.694013182716670229e+00,1.026309848615142517e+00,2.911991531434425269e+03,2.826946386661077486e+04
1.054748461879984056e+00,2.038918621970116973e+00,9.128668066570384000e+16,1.596031704832339840e+17
2.093829086702213793e+00,-1.726590789183204855e+00,1.494759658276857041e-12,-2.359452943162977759e-11
-3.319261990243345117e-01,2.795578191359116005e-02,-9.611654269986162902e+00,-7.224146294378962274e+00
1.395527642543562763e+00,-1.042553425135761547e-01,1.223976077013382024e+01,-3.243729759542083002e+01
8.182274188255393987e-01,1.689648628055022694e+00,4.023902555586848450e+10,8.815242459725274658e+10
-4.178188120165715613e-01,-1.814312226095835534e-01,-5.536740149760008833e+00,-8.095398675096932450e+00
3.885117193743772290e+00,2.796326587802123953e+00,1.277689023876542816e+67,2.866384516052803102e+67
3.034639657693910308e+00,-1.081901387107489398e+00,1.069572468741986514e-05,-5.687355660216305756e-05
2.872182519820802860e+00,1.031016992071304372e+00,1.935696902590497863e+06,1.911462751431629807e+07
1.224867402500419367e+00,1.292713000734241113e+00,6.681264003890685737e+06,3.007282466839209571e+07
1.302655095421812792e+00,-1.636388520103827071e+00,2.593167405440568655e-11,-1.402067709732070856e-09
1.594745607770637896e+00,2.342186311968976753e-01,1.088712346434153133e+01,3.594084535421062299e+01
-7.207443005724054608e-01,2.445902304416547324e-01,-7.414846875455269881e+00,-1.285739311309253452e+01
-1.506337352974282728e+00,-1.306952210663492320e-01,-4.163937306134054670e+05,-2.162898717146086565e+05
3.443076996572001391e+00,1.120983409192390035e+00,3.878337859241522217e+10,3.225031806469954224e+11
3.567105499944740465e+00,8.738276197368959330e-01,2.639294894321890752e+03,4.006406462300216663e+04
2.847335593213442095e+00,1.571199640820332366e+00,1.721646631091983483e+20,7.218800486843998536e+20
3.528195266437943900e+00,-1.458067593686716235e+00,9.908954160809657064e-11,-5.714718772306639244e-10
3.756149175273189478e+00,-5.173297432481038793e-01,3.810691901232732270e-03,-7.152677698026680374e-03
1.579634073813133810e+00,-7.701489246743753458e-01,4.399222732766629868e-02,-5.845151281516943742e-01
1.523439045736378450e+00,-1.287090984273571825e+00,1.017180829129286658e-06,-2.501158937324120179e-05
3.166069747246407218e+00,-1.126365395303667194e+00,2.455808850099712271e-06,-1.277030949545451425e-05
4.913113278792260452e-01,2.549053481675148447e+00,1.082193599748317184e+18,1.048634465342071808e+18
7.524761833625239760e-01,-2.814489652372902384e-01,-4.198403044187140054e+00,-4.815239123308161595e+01
1.428550269116063198e+00,3.077427155971230732e-01,8.098629916648425464e+00,3.628398402196472006e+01
7.306243359371000778e-01,9.599580292900009582e-01,8.907314788384359971e+00,1.184867976505361327e+02
3.286187008833726608e+00,-3.823045451033173503e-01,1.138983418640565209e-01,-1.904655344621084267e-01
2.686385148326127847e+00,9.557249372880041172e-01,7.899761011884229447e+03,9.703171641675956198e+04
-1.343200062774240866e+00,1.962246378558151427e+00,2.975067260532807678e-01,-7.478660723223792828e-02
-1.836747337170079764e+00,-1.773658251159512922e+00,-3.005454183300517478e+19,-1.154672272860587622e+19
-4.565143194731353660e-01,2.464682063964684033e+00,2.886599119601436332e+07,1.295647701731849648e+07
